size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft,location_avg_price
650,Independent Floor,2,mayur vihar phase 1,12500,19.23076923076923,19561.660079051384
620,Independent Floor,2,mayur vihar phase 1,10000,16.129032258064516,19561.660079051384
680,Independent Floor,2,mayur vihar phase 1,12500,18.38235294117647,19561.660079051384
500,Independent Floor,2,Krishna Nagar,8000,16.0,25532.05128205128
1000,Independent Floor,2,other,16000,16.0,61900.17677136596
1000,Independent Floor,3,Preet Vihar,15000,15.0,23355.555555555555
1000,Independent Floor,3,Preet Vihar,28000,28.0,23355.555555555555
1000,Independent Floor,2,Preet Vihar,15000,15.0,23355.555555555555
1000,Independent Floor,3,Krishna Nagar,23000,23.0,25532.05128205128
1000,Independent Floor,2,Krishna Nagar,12000,12.0,25532.05128205128
1000,Independent Floor,2,Preet Vihar,25000,25.0,23355.555555555555
1300,Independent Floor,3,Krishna Nagar,26000,20.0,25532.05128205128
1000,Independent Floor,2,Preet Vihar,15000,15.0,23355.555555555555
750,Independent Floor,2,mayur vihar phase 1,14000,18.666666666666668,19561.660079051384
1000,Independent Floor,2,Preet Vihar,13000,13.0,23355.555555555555
1000,Independent Floor,2,Preet Vihar,16000,16.0,23355.555555555555
1000,Independent Floor,3,Preet Vihar,18000,18.0,23355.555555555555
1000,Independent Floor,2,Anand Vihar,14000,14.0,34318.181818181816
900,Independent Floor,2,Preet Vihar,11000,12.222222222222221,23355.555555555555
650,Independent Floor,2,mayur vihar phase 1,11000,16.923076923076923,19561.660079051384
600,Independent Floor,2,mayur vihar phase 1,10500,17.5,19561.660079051384
1620,Independent Floor,2,Preet Vihar,18000,11.11111111111111,23355.555555555555
1620,Independent Floor,2,other,17000,10.493827160493828,61900.17677136596
800,Independent Floor,2,Preet Vihar,18000,22.5,23355.555555555555
650,Independent Floor,2,mayur vihar phase 1,12000,18.46153846153846,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,12000,18.46153846153846,19561.660079051384
700,Independent Floor,2,mayur vihar phase 1,13000,18.571428571428573,19561.660079051384
980,Independent House,3,New Ashok Nagar,19000,19.387755102040817,12721.019108280254
590,Independent House,2,New Ashok Nagar,12000,20.338983050847457,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,12000,20.338983050847457,12721.019108280254
530,Independent Floor,2,New Ashok Nagar,12500,23.58490566037736,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,13000,22.033898305084747,12721.019108280254
490,Independent Floor,2,New Ashok Nagar,10500,21.428571428571427,12721.019108280254
490,Independent Floor,2,New Ashok Nagar,9500,19.387755102040817,12721.019108280254
490,Independent Floor,2,New Ashok Nagar,9500,19.387755102040817,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,12000,20.338983050847457,12721.019108280254
480,Independent Floor,2,New Ashok Nagar,8000,16.666666666666668,12721.019108280254
500,Independent Floor,2,New Ashok Nagar,11000,22.0,12721.019108280254
500,Independent Floor,2,New Ashok Nagar,11500,23.0,12721.019108280254
500,Independent Floor,2,New Ashok Nagar,10500,21.0,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,12500,21.1864406779661,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,10000,16.949152542372882,12721.019108280254
